seed,config,model,dataset,split,tokens_trained,loss,ppl,bits_per_byte
43,medium,param_matched,tiny_shakespeare,validation,1024000,1.972989559173584,7.192145725811017,2.8464222527454317
43,medium,param_matched,tiny_shakespeare,validation,1228800,1.8884066343307495,6.60883000444698,2.7243948865307903
43,medium,param_matched,tiny_shakespeare,validation,1433600,1.8385292291641235,6.287284303079246,2.65243700144449
43,medium,param_matched,tiny_shakespeare,validation,1638400,1.793310523033142,6.009313543867164,2.5872001983539072
43,medium,param_matched,tiny_shakespeare,validation,1843200,1.7651787996292114,5.842616922438708,2.5466147005073965
43,medium,param_matched,tiny_shakespeare,validation,2048000,1.6988401412963867,5.467602066753332,2.450908247111403
43,medium,deepseekv4,tiny_shakespeare,validation,204800,2.6133577823638916,13.644790253450077,3.7702783126849653
43,medium,deepseekv4,tiny_shakespeare,validation,409600,2.297816038131714,9.952422990235357,3.315047803087749
43,medium,deepseekv4,tiny_shakespeare,validation,614400,2.0954134464263916,8.128801099313437,3.023042587771407
43,medium,deepseekv4,tiny_shakespeare,validation,819200,1.9439691305160522,6.986426048133,2.8045546242367387
43,medium,deepseekv4,tiny_shakespeare,validation,1024000,1.8604235649108887,6.4264582172360845,2.6840238510499055
43,medium,deepseekv4,tiny_shakespeare,validation,1228800,1.7870959043502808,5.972083755936491,2.5782343987991276
43,medium,deepseekv4,tiny_shakespeare,validation,1433600,1.7347489595413208,5.66750485218558,2.5027137211175527
43,medium,deepseekv4,tiny_shakespeare,validation,1638400,1.684279203414917,5.388565472613521,2.4299012542391143
43,medium,deepseekv4,tiny_shakespeare,validation,1843200,1.6468393802642822,5.190548524203212,2.375887007047934
43,medium,deepseekv4,tiny_shakespeare,validation,2048000,1.5850180387496948,4.879379395622453,2.2866976642237358
44,medium,native,tiny_shakespeare,validation,204800,2.663172483444214,14.341715858878814,3.8421457348969126
44,medium,native,tiny_shakespeare,validation,409600,2.325631856918335,10.233143926250907,3.355177546909473
44,medium,native,tiny_shakespeare,validation,614400,2.1370134353637695,8.474091376985438,3.083058685512398
44,medium,native,tiny_shakespeare,validation,819200,2.044686794281006,7.72673810032003,2.949859498280359
44,medium,native,tiny_shakespeare,validation,1024000,1.9580514430999756,7.085507091293731,2.824871106765813
44,medium,native,tiny_shakespeare,validation,1228800,1.9072850942611694,6.734779664030433,2.7516307470520283
44,medium,native,tiny_shakespeare,validation,1433600,1.852402925491333,6.375120070729355,2.6724525143345543
44,medium,native,tiny_shakespeare,validation,1638400,1.8329774141311646,6.252475179884714,2.644427425428507
44,medium,native,tiny_shakespeare,validation,1843200,1.7581865787506104,5.801906548236825,2.5365270581210386
44,medium,native,tiny_shakespeare,validation,2048000,1.758518934249878,5.803835164259686,2.537006545751644
44,medium,param_matched,tiny_shakespeare,validation,204800,2.663172483444214,14.341715858878814,3.8421457348969126
44,medium,param_matched,tiny_shakespeare,validation,409600,2.325631856918335,10.233143926250907,3.355177546909473
44,medium,param_matched,tiny_shakespeare,validation,614400,2.1370134353637695,8.474091376985438,3.083058685512398
44,medium,param_matched,tiny_shakespeare,validation,819200,2.044686794281006,7.72673810032003,2.949859498280359
44,medium,param_matched,tiny_shakespeare,validation,1024000,1.9580514430999756,7.085507091293731,2.824871106765813
44,medium,param_matched,tiny_shakespeare,validation,1228800,1.9072850942611694,6.734779664030433,2.7516307470520283
44,medium,param_matched,tiny_shakespeare,validation,1433600,1.852402925491333,6.375120070729355,2.6724525143345543
44,medium,param_matched,tiny_shakespeare,validation,1638400,1.8329774141311646,6.252475179884714,2.644427425428507
44,medium,param_matched,tiny_shakespeare,validation,1843200,1.7581865787506104,5.801906548236825,2.5365270581210386
44,medium,param_matched,tiny_shakespeare,validation,2048000,1.758518934249878,5.803835164259686,2.537006545751644
44,medium,deepseekv4,tiny_shakespeare,validation,204800,2.624372720718384,13.795917578027927,3.786169509624689
44,medium,deepseekv4,tiny_shakespeare,validation,409600,2.3135342597961426,10.110093283011988,3.337724403534614
44,medium,deepseekv4,tiny_shakespeare,validation,614400,2.082420825958252,8.023869814052224,3.0042981986538693
44,medium,deepseekv4,tiny_shakespeare,validation,819200,1.9465337991714478,7.004366912384111,2.8082546589874013
44,medium,deepseekv4,tiny_shakespeare,validation,1024000,1.8596214056015015,6.421305240980989,2.68286657979225
44,medium,deepseekv4,tiny_shakespeare,validation,1228800,1.797438144683838,6.034168978182025,2.593155097640032
44,medium,deepseekv4,tiny_shakespeare,validation,1433600,1.7215434312820435,5.593154455303086,2.483662170985574
44,medium,deepseekv4,tiny_shakespeare,validation,1638400,1.6861096620559692,5.398438051763078,2.432542047843113
44,medium,deepseekv4,tiny_shakespeare,validation,1843200,1.630401611328125,5.105924904102339,2.352172319320461
44,medium,deepseekv4,tiny_shakespeare,validation,2048000,1.6062777042388916,4.984223900033704,2.3173688781959583
42,medium,native,wikitext2,validation,204800,2.6418681144714355,14.039406343418952,3.8114100274306164
42,medium,native,wikitext2,validation,409600,2.3754773139953613,10.756146020023673,3.427089340645343
42,medium,native,wikitext2,validation,614400,2.209523916244507,9.111377581446707,3.1876691966915116
42,medium,native,wikitext2,validation,819200,2.0903191566467285,8.087495930530425,3.015693081169436
42,medium,native,wikitext2,validation,1024000,1.9953391551971436,7.354696988654131,2.878665904094493
42,medium,native,wikitext2,validation,1228800,1.9217671155929565,6.833022547531757,2.772523887409446
42,medium,native,wikitext2,validation,1433600,1.85958731174469,6.421086317651551,2.682817392754103
42,medium,native,wikitext2,validation,1638400,1.8003700971603394,6.051886836127575,2.597385010938003
42,medium,native,wikitext2,validation,1843200,1.7567650079727173,5.793664587085337,2.5344761650094996
