config,model,dataset,split,tokens_trained,n,loss_mean,loss_std,ppl_mean,ppl_std,bits_per_byte_mean,bits_per_byte_std
medium,native,tiny_shakespeare,validation,1228800,3,1.8960267702738445,0.00995119950156774,6.659602717930568,0.06642668224809158,2.7353884188667927,0.01435654617180852
medium,native,tiny_shakespeare,validation,1433600,3,1.8395481904347737,0.012376753139588536,6.294015598550491,0.07795708806682043,2.653907051816515,0.017855880376791394
medium,native,tiny_shakespeare,validation,1638400,3,1.8055760860443115,0.02377360091919829,6.084626350785648,0.14561621427037788,2.6048956652838324,0.034298056150200706
medium,native,tiny_shakespeare,validation,1843200,3,1.759523590405782,0.005119366257913757,5.8097197377913155,0.02976976233159857,2.5384559582055655,0.007385684312786443
medium,native,tiny_shakespeare,validation,2048000,3,1.7250452836354573,0.03049611436737541,5.614521275061655,0.17207892285368503,2.4887142760097696,0.04399659296419528
medium,native,wikitext2,validation,204800,3,2.6494901974995932,0.010169248683803145,14.14731319681824,0.14422561978680223,3.8224063688165835,0.014671124645689445
medium,native,wikitext2,validation,409600,3,2.366135756174723,0.00893536855667034,10.656418441220588,0.09528008483380647,3.413612321503331,0.012891011905223545
medium,native,wikitext2,validation,614400,3,2.20802108446757,0.0049717842203607235,9.09776990742318,0.04518566182045728,3.1855010687396343,0.007172768439084431
medium,native,wikitext2,validation,819200,3,2.0811609427134194,0.008112100252186354,8.013943047472084,0.06513184815560794,3.0024805713444507,0.011703286805023505
medium,native,wikitext2,validation,1024000,3,1.9927536249160767,0.002832385102271452,7.335725371115381,0.020770860356213772,2.874935772379929,0.004086267940934846
medium,native,wikitext2,validation,1228800,3,1.9142150084177654,0.006557541996266413,6.781710524046344,0.04455323606720136,2.7616284998395355,0.009460533318434765
medium,native,wikitext2,validation,1433600,3,1.8523470163345337,0.007736547451273819,6.374890781954597,0.0492860100609722,2.6723718544712995,0.011161478641554846
medium,native,wikitext2,validation,1638400,3,1.8005701303482056,0.0005722342423862051,6.053098196187707,0.003464246043585413,2.5976735978261507,0.0008255595037173642
medium,native,wikitext2,validation,1843200,3,1.7587321201960247,0.002330461124256382,5.805083104434878,0.013534248658709608,2.5373141080589368,0.0033621447069490822
medium,native,wikitext2,validation,2048000,3,1.717778205871582,0.005640982582673833,5.572193636460458,0.031407056188885965,2.4782300989580723,0.008138217597764515
medium,param_matched,tiny_shakespeare,validation,204800,3,2.6614108085632324,0.008130610156738641,14.31678786905322,0.11625659162018526,3.839604175282462,0.011729990952528451
medium,param_matched,tiny_shakespeare,validation,409600,3,2.3127485116322837,0.014804220254825109,10.102889288286582,0.14921022561831657,3.336590808555227,0.021357975145864166
medium,param_matched,tiny_shakespeare,validation,614400,3,2.1345659097035727,0.013018160800406143,8.453853163014601,0.1098562523603278,3.0795276523799835,0.018781236028241048
medium,param_matched,tiny_shakespeare,validation,819200,3,2.030181805292765,0.014919138444640063,7.616035570866889,0.11355384018178284,2.9289332225988756,0.021523767048417956
medium,param_matched,tiny_shakespeare,validation,1024000,3,1.9540373086929321,0.021245657298950983,7.0581817171113395,0.14951136533985232,2.81907993496331,0.030651004425622925
medium,param_matched,tiny_shakespeare,validation,1228800,3,1.8960267702738445,0.00995119950156774,6.659602717930568,0.06642668224809158,2.7353884188667927,0.01435654617180852
medium,param_matched,tiny_shakespeare,validation,1433600,3,1.8395481904347737,0.012376753139588536,6.294015598550491,0.07795708806682043,2.653907051816515,0.017855880376791394
medium,param_matched,tiny_shakespeare,validation,1638400,3,1.8055760860443115,0.02377360091919829,6.084626350785648,0.14561621427037788,2.6048956652838324,0.034298056150200706
medium,param_matched,tiny_shakespeare,validation,1843200,3,1.759523590405782,0.005119366257913757,5.8097197377913155,0.02976976233159857,2.5384559582055655,0.007385684312786443
medium,param_matched,tiny_shakespeare,validation,2048000,3,1.7250452836354573,0.03049611436737541,5.614521275061655,0.17207892285368503,2.4887142760097696,0.04399659296419528
medium,param_matched,wikitext2,validation,204800,3,2.6494901974995932,0.010169248683803145,14.14731319681824,0.14422561978680223,3.8224063688165835,0.014671124645689445
medium,param_matched,wikitext2,validation,409600,3,2.366135756174723,0.00893536855667034,10.656418441220588,0.09528008483380647,3.413612321503331,0.012891011905223545
medium,param_matched,wikitext2,validation,614400,3,2.20802108446757,0.0049717842203607235,9.09776990742318,0.04518566182045728,3.1855010687396343,0.007172768439084431
medium,param_matched,wikitext2,validation,819200,3,2.0811609427134194,0.008112100252186354,8.013943047472084,0.06513184815560794,3.0024805713444507,0.011703286805023505
medium,param_matched,wikitext2,validation,1024000,3,1.9927536249160767,0.002832385102271452,7.335725371115381,0.020770860356213772,2.874935772379929,0.004086267940934846
medium,param_matched,wikitext2,validation,1228800,3,1.9142150084177654,0.006557541996266413,6.781710524046344,0.04455323606720136,2.7616284998395355,0.009460533318434765
