seed,config,model,dataset,tokens_trained,layer,expert,count
42,medium,deepseekv4,tiny_shakespeare,819200,1,2,940
42,medium,deepseekv4,tiny_shakespeare,819200,1,3,528
42,medium,deepseekv4,tiny_shakespeare,819200,1,4,620
42,medium,deepseekv4,tiny_shakespeare,819200,1,5,264
42,medium,deepseekv4,tiny_shakespeare,819200,1,6,528
42,medium,deepseekv4,tiny_shakespeare,819200,1,7,430
42,medium,deepseekv4,tiny_shakespeare,819200,2,0,512
42,medium,deepseekv4,tiny_shakespeare,819200,2,1,584
42,medium,deepseekv4,tiny_shakespeare,819200,2,2,491
42,medium,deepseekv4,tiny_shakespeare,819200,2,3,547
42,medium,deepseekv4,tiny_shakespeare,819200,2,4,503
42,medium,deepseekv4,tiny_shakespeare,819200,2,5,447
42,medium,deepseekv4,tiny_shakespeare,819200,2,6,424
42,medium,deepseekv4,tiny_shakespeare,819200,2,7,588
42,medium,deepseekv4,tiny_shakespeare,819200,3,0,575
42,medium,deepseekv4,tiny_shakespeare,819200,3,1,543
42,medium,deepseekv4,tiny_shakespeare,819200,3,2,434
42,medium,deepseekv4,tiny_shakespeare,819200,3,3,512
42,medium,deepseekv4,tiny_shakespeare,819200,3,4,466
42,medium,deepseekv4,tiny_shakespeare,819200,3,5,499
42,medium,deepseekv4,tiny_shakespeare,819200,3,6,569
42,medium,deepseekv4,tiny_shakespeare,819200,3,7,498
42,medium,deepseekv4,tiny_shakespeare,819200,4,0,419
42,medium,deepseekv4,tiny_shakespeare,819200,4,1,546
42,medium,deepseekv4,tiny_shakespeare,819200,4,2,524
42,medium,deepseekv4,tiny_shakespeare,819200,4,3,628
42,medium,deepseekv4,tiny_shakespeare,819200,4,4,478
42,medium,deepseekv4,tiny_shakespeare,819200,4,5,447
42,medium,deepseekv4,tiny_shakespeare,819200,4,6,507
42,medium,deepseekv4,tiny_shakespeare,819200,4,7,547
42,medium,deepseekv4,tiny_shakespeare,819200,5,0,484
42,medium,deepseekv4,tiny_shakespeare,819200,5,1,527
42,medium,deepseekv4,tiny_shakespeare,819200,5,2,458
42,medium,deepseekv4,tiny_shakespeare,819200,5,3,589
42,medium,deepseekv4,tiny_shakespeare,819200,5,4,490
42,medium,deepseekv4,tiny_shakespeare,819200,5,5,481
42,medium,deepseekv4,tiny_shakespeare,819200,5,6,471
42,medium,deepseekv4,tiny_shakespeare,819200,5,7,596
42,medium,deepseekv4,tiny_shakespeare,1024000,0,0,344
42,medium,deepseekv4,tiny_shakespeare,1024000,0,1,251
42,medium,deepseekv4,tiny_shakespeare,1024000,0,2,366
42,medium,deepseekv4,tiny_shakespeare,1024000,0,3,865
42,medium,deepseekv4,tiny_shakespeare,1024000,0,4,429
42,medium,deepseekv4,tiny_shakespeare,1024000,0,5,739
42,medium,deepseekv4,tiny_shakespeare,1024000,0,6,259
42,medium,deepseekv4,tiny_shakespeare,1024000,0,7,843
42,medium,deepseekv4,tiny_shakespeare,1024000,1,0,373
42,medium,deepseekv4,tiny_shakespeare,1024000,1,1,401
42,medium,deepseekv4,tiny_shakespeare,1024000,1,2,922
42,medium,deepseekv4,tiny_shakespeare,1024000,1,3,499
42,medium,deepseekv4,tiny_shakespeare,1024000,1,4,667
42,medium,deepseekv4,tiny_shakespeare,1024000,1,5,292
42,medium,deepseekv4,tiny_shakespeare,1024000,1,6,523
42,medium,deepseekv4,tiny_shakespeare,1024000,1,7,419
42,medium,deepseekv4,tiny_shakespeare,1024000,2,0,582
42,medium,deepseekv4,tiny_shakespeare,1024000,2,1,544
42,medium,deepseekv4,tiny_shakespeare,1024000,2,2,544
42,medium,deepseekv4,tiny_shakespeare,1024000,2,3,538
42,medium,deepseekv4,tiny_shakespeare,1024000,2,4,447
42,medium,deepseekv4,tiny_shakespeare,1024000,2,5,519
42,medium,deepseekv4,tiny_shakespeare,1024000,2,6,432
42,medium,deepseekv4,tiny_shakespeare,1024000,2,7,490
42,medium,deepseekv4,tiny_shakespeare,1024000,3,0,477
42,medium,deepseekv4,tiny_shakespeare,1024000,3,1,402
42,medium,deepseekv4,tiny_shakespeare,1024000,3,2,515
42,medium,deepseekv4,tiny_shakespeare,1024000,3,3,474
42,medium,deepseekv4,tiny_shakespeare,1024000,3,4,636
42,medium,deepseekv4,tiny_shakespeare,1024000,3,5,506
42,medium,deepseekv4,tiny_shakespeare,1024000,3,6,518
42,medium,deepseekv4,tiny_shakespeare,1024000,3,7,568
42,medium,deepseekv4,tiny_shakespeare,1024000,4,0,434
42,medium,deepseekv4,tiny_shakespeare,1024000,4,1,528
42,medium,deepseekv4,tiny_shakespeare,1024000,4,2,528
42,medium,deepseekv4,tiny_shakespeare,1024000,4,3,426
42,medium,deepseekv4,tiny_shakespeare,1024000,4,4,511
42,medium,deepseekv4,tiny_shakespeare,1024000,4,5,479
42,medium,deepseekv4,tiny_shakespeare,1024000,4,6,565
42,medium,deepseekv4,tiny_shakespeare,1024000,4,7,625
42,medium,deepseekv4,tiny_shakespeare,1024000,5,0,529
42,medium,deepseekv4,tiny_shakespeare,1024000,5,1,468
42,medium,deepseekv4,tiny_shakespeare,1024000,5,2,516
42,medium,deepseekv4,tiny_shakespeare,1024000,5,3,535
42,medium,deepseekv4,tiny_shakespeare,1024000,5,4,495
42,medium,deepseekv4,tiny_shakespeare,1024000,5,5,497
42,medium,deepseekv4,tiny_shakespeare,1024000,5,6,490
42,medium,deepseekv4,tiny_shakespeare,1024000,5,7,566
42,medium,deepseekv4,tiny_shakespeare,1228800,0,0,379
42,medium,deepseekv4,tiny_shakespeare,1228800,0,1,241
42,medium,deepseekv4,tiny_shakespeare,1228800,0,2,401
42,medium,deepseekv4,tiny_shakespeare,1228800,0,3,887
42,medium,deepseekv4,tiny_shakespeare,1228800,0,4,347
42,medium,deepseekv4,tiny_shakespeare,1228800,0,5,695
42,medium,deepseekv4,tiny_shakespeare,1228800,0,6,301
42,medium,deepseekv4,tiny_shakespeare,1228800,0,7,845
42,medium,deepseekv4,tiny_shakespeare,1228800,1,0,382
