config,model,dataset,split,tokens_trained,n,loss_mean,loss_std,ppl_mean,ppl_std,bits_per_byte_mean,bits_per_byte_std
small,native,wikitext2,validation,20480,3,3.8253982861836753,0.011863789782208582,45.85320697697915,0.5429229123343973,5.518883136902328,0.017115830684941626
small,native,wikitext2,validation,25600,3,3.5761794249216714,0.006807575597789139,35.73729714509818,0.24349138525926595,5.159336321663641,0.009821255555407285
small,native,wikitext2,validation,30720,3,3.4140477180480957,0.003409298373818417,30.388115512754766,0.1036987463370579,4.925429712186269,0.004918577856818472
small,native,wikitext2,validation,35840,3,3.312990744908651,0.0015151400219363756,27.467171015371946,0.04162997021151519,4.779635318190743,0.002185884995899888
small,native,wikitext2,validation,40960,3,3.2464141845703125,0.0024243299044998186,25.698076496377862,0.0623438069814512,4.683585644751179,0.003497568730700519
small,native,wikitext2,validation,46080,3,3.177048365275065,0.008369531982342056,23.976441614657602,0.2011082644570623,4.583511921246725,0.012074682285486646
small,native,wikitext2,validation,51200,3,3.1307551066080728,0.007064029426978054,22.891639331616442,0.1618397964906613,4.5167248665412645,0.01019124022299515
small,param_matched,tiny_shakespeare,validation,5120,3,5.291643142700195,0.010694529977449685,198.67718916338967,2.1310661043430605,7.634227320127661,0.015428945363105266
small,param_matched,tiny_shakespeare,validation,10240,3,4.845367431640625,0.013406884866346154,127.15763023741458,1.711317903015688,6.990387564912823,0.01934204631044668
small,param_matched,tiny_shakespeare,validation,15360,3,4.47660764058431,0.011557045260303515,87.9397798970913,1.0196918899197704,6.4583796430766265,0.016673291884369022
small,param_matched,tiny_shakespeare,validation,20480,3,4.170601844787598,0.009346870691546303,64.75630161181368,0.6068851394488878,6.01690659899743,0.013484683994524242
small,param_matched,tiny_shakespeare,validation,25600,3,3.929783264795939,0.005778038338484642,50.89651251832587,0.2945374146808744,5.669478827889542,0.008335947256998162
small,param_matched,tiny_shakespeare,validation,30720,3,3.749875068664551,0.0034742133157916483,42.5159411843992,0.14772288981973608,5.409926165515508,0.005012230321682952
small,param_matched,tiny_shakespeare,validation,35840,3,3.6208833853403726,0.003033109535516935,37.370680408991326,0.1132808950542266,5.223830503667798,0.004375852085363352
small,param_matched,tiny_shakespeare,validation,40960,3,3.532025098800659,0.003556252604804332,34.19328608809867,0.12147607981551384,5.095635094335062,0.005130587997099699
small,param_matched,tiny_shakespeare,validation,46080,3,3.4729042847951255,0.00340764455029995,32.23033708548379,0.10978892849518286,5.01034178915596,0.004916191893830069
small,param_matched,tiny_shakespeare,validation,51200,3,3.4302171071370444,0.00604106913542794,30.883722824416775,0.18665579884412986,4.9487572096391,0.008715420483349196
small,param_matched,wikitext2,validation,5120,3,5.282026290893555,0.0075400541589080335,196.77191478896336,1.4864080278066125,7.620353135717257,0.010877998743090705
small,param_matched,wikitext2,validation,10240,3,4.8307522137959795,0.010039169226686531,125.30939268515412,1.2586702494350621,6.969302262606842,0.014483459657985557
small,param_matched,wikitext2,validation,15360,3,4.4500400225321455,0.009996361737046065,85.63321981951101,0.8544098441784288,6.420050672264537,0.014421701504968503
small,param_matched,wikitext2,validation,20480,3,4.126125971476237,0.010378558933782426,61.939730186992136,0.641290828338227,5.952741477131924,0.014973095505341566
small,param_matched,wikitext2,validation,25600,3,3.863698164621989,0.010523569190744413,47.64296691421779,0.5001615373470341,5.574138181591933,0.01518230108393857
small,param_matched,wikitext2,validation,30720,3,3.661152203877767,0.00842394743629699,38.90706387560588,0.32705609428254623,5.281926128474153,0.012153187191055091
small,param_matched,wikitext2,validation,35840,3,3.5119618574778237,0.005086545953729219,33.51424169905476,0.17023559841350847,5.06668995557445,0.007338334622699043
small,param_matched,wikitext2,validation,40960,3,3.40493114789327,0.0027614381440188847,30.11229886465456,0.08309017178982979,4.912277281633986,0.003983913116097541
small,param_matched,wikitext2,validation,46080,3,3.3287013371785483,0.0031797465556425183,27.902176793793377,0.08870706005759403,4.8023009117479525,0.0045874045871090365
small,param_matched,wikitext2,validation,51200,3,3.2671573956807456,0.012624200870145924,26.238043333538283,0.3300543149390162,4.713511772552312,0.018212871990545627
