seed,config,model,dataset,split,tokens_trained,loss,ppl,bits_per_byte
42,small,deepseekv4_no_shared,tiny_shakespeare,validation,40960,3.3231163024902344,27.74668302701931,4.79424340989993
42,small,deepseekv4_no_shared,tiny_shakespeare,validation,46080,3.247009038925171,25.713317257701746,4.684443838178983
42,small,deepseekv4_no_shared,tiny_shakespeare,validation,51200,3.170142412185669,23.81087507374515,4.573548736972041
43,small,native,tiny_shakespeare,validation,5120,5.276690483093262,195.72106015398143,7.612655192264637
43,small,native,tiny_shakespeare,validation,10240,4.696079730987549,109.51699371806696,6.775010939514914
43,small,native,tiny_shakespeare,validation,15360,4.235860824584961,69.12115431980139,6.111055405524558
43,small,native,tiny_shakespeare,validation,20480,3.9020779132843018,49.505209837774544,5.629508454657617
43,small,native,tiny_shakespeare,validation,25600,3.676330089569092,39.50116201474141,5.303823188892207
43,small,native,tiny_shakespeare,validation,30720,3.5354843139648438,34.31162829154848,5.100625686897799
43,small,native,tiny_shakespeare,validation,35840,3.4505274295806885,31.517010929645732,4.978058811107402
43,small,native,tiny_shakespeare,validation,40960,3.392090082168579,29.728021390408124,4.893751539793246
43,small,native,tiny_shakespeare,validation,46080,3.3296356201171875,27.928163388059968,4.8036487971103154
43,small,native,tiny_shakespeare,validation,51200,3.2666876316070557,26.224330676381623,4.712834046252812
43,small,param_matched,tiny_shakespeare,validation,5120,5.286399841308594,197.63064144008578,7.6266628352121115
43,small,param_matched,tiny_shakespeare,validation,10240,4.837315559387207,126.13030754165365,6.978771168742946
43,small,param_matched,tiny_shakespeare,validation,15360,4.469942569732666,87.3517062375437,6.448763978411787
43,small,param_matched,tiny_shakespeare,validation,20480,4.165515422821045,64.42588045627382,6.009568443250416
43,small,param_matched,tiny_shakespeare,validation,25600,3.9257586002349854,50.69151807421571,5.663672464286212
43,small,param_matched,tiny_shakespeare,validation,30720,3.746464252471924,42.37100366539081,5.405005397909022
43,small,param_matched,tiny_shakespeare,validation,35840,3.6175084114074707,37.24465376386681,5.21896144551167
43,small,param_matched,tiny_shakespeare,validation,40960,3.527923107147217,34.053169335975205,5.089717171318873
43,small,param_matched,tiny_shakespeare,validation,46080,3.469273567199707,32.11340573824749,5.005103770886182
43,small,param_matched,tiny_shakespeare,validation,51200,3.4245104789733887,30.70760915130094,4.9405242854871965
43,small,deepseekv4,tiny_shakespeare,validation,5120,5.312640190124512,202.88517733555162,7.664519656320033
43,small,deepseekv4,tiny_shakespeare,validation,10240,4.854769706726074,128.35112940910454,7.003952180551675
43,small,deepseekv4,tiny_shakespeare,validation,15360,4.344882488250732,77.08297879138489,6.268340419044632
43,small,deepseekv4,tiny_shakespeare,validation,20480,3.945216417312622,51.687522976582905,5.691744160490643
43,small,deepseekv4,tiny_shakespeare,validation,25600,3.6755740642547607,39.471309422392444,5.302732474920435
43,small,deepseekv4,tiny_shakespeare,validation,30720,3.5036983489990234,33.23815120976768,5.05476823287174
43,small,deepseekv4,tiny_shakespeare,validation,35840,3.3883588314056396,29.617305370981608,4.88836848282124
43,small,deepseekv4,tiny_shakespeare,validation,40960,3.2931618690490723,26.92787159684769,4.751028297321727
43,small,deepseekv4,tiny_shakespeare,validation,46080,3.209404706954956,24.764339796554157,4.630192254929612
43,small,deepseekv4,tiny_shakespeare,validation,51200,3.133317708969116,22.949994778016393,4.520421920259312
43,small,deepseekv4_no_hash,tiny_shakespeare,validation,5120,5.312509536743164,202.85867143268803,7.664331163334688
43,small,deepseekv4_no_hash,tiny_shakespeare,validation,10240,4.859540939331055,128.96498576383573,7.010835614169808
43,small,deepseekv4_no_hash,tiny_shakespeare,validation,15360,4.35106897354126,77.56132963541474,6.277265630693808
43,small,deepseekv4_no_hash,tiny_shakespeare,validation,20480,3.9510679244995117,51.990859511185846,5.700186100890895
43,small,deepseekv4_no_hash,tiny_shakespeare,validation,25600,3.682434320449829,39.74302366640537,5.312629732512288
43,small,deepseekv4_no_hash,tiny_shakespeare,validation,30720,3.507549524307251,33.36640396039552,5.060324304390514
43,small,deepseekv4_no_hash,tiny_shakespeare,validation,35840,3.391268014907837,29.703592999562314,4.892565547432896
43,small,deepseekv4_no_hash,tiny_shakespeare,validation,40960,3.2954235076904297,26.988841631885713,4.754291152173896
43,small,deepseekv4_no_hash,tiny_shakespeare,validation,46080,3.21101713180542,24.804302643332743,4.6325184922651825
43,small,deepseekv4_no_hash,tiny_shakespeare,validation,51200,3.1346144676208496,22.979774686806092,4.522292747535398
43,small,deepseekv4_no_shared,tiny_shakespeare,validation,5120,5.320945739746094,204.5772673853416,7.676502031570947
43,small,deepseekv4_no_shared,tiny_shakespeare,validation,10240,4.88752555847168,132.62499489891533,7.051208885425154
43,small,deepseekv4_no_shared,tiny_shakespeare,validation,15360,4.382607460021973,80.04647952478368,6.322766048736676
43,small,deepseekv4_no_shared,tiny_shakespeare,validation,20480,3.9681782722473145,52.88809531568768,5.724871114734536
43,small,deepseekv4_no_shared,tiny_shakespeare,validation,25600,3.6888678073883057,39.99953413368769,5.321911292214053
43,small,deepseekv4_no_shared,tiny_shakespeare,validation,30720,3.5132222175598145,33.556219207828406,5.068508270814472
43,small,deepseekv4_no_shared,tiny_shakespeare,validation,35840,3.3975720405578613,29.891436675317717,4.901660333975823
43,small,deepseekv4_no_shared,tiny_shakespeare,validation,40960,3.3095786571502686,27.373589375593145,4.7747127161026475
43,small,deepseekv4_no_shared,tiny_shakespeare,validation,46080,3.229871988296509,25.27642108613035,4.659720300221549
43,small,deepseekv4_no_shared,tiny_shakespeare,validation,51200,3.1543641090393066,23.438128257842404,4.550785457269141
44,small,native,tiny_shakespeare,validation,5120,5.2564311027526855,191.79576899684957,7.5834270847158045
44,small,native,tiny_shakespeare,validation,10240,4.670598983764648,106.76167179230544,6.73824999185829
44,small,native,tiny_shakespeare,validation,15360,4.216830730438232,67.81820915114189,6.083600783071423
44,small,native,tiny_shakespeare,validation,20480,3.889896869659424,48.90584258744271,5.611934923427153
44,small,native,tiny_shakespeare,validation,25600,3.6680376529693604,39.17495552571628,5.291859731732889
44,small,native,tiny_shakespeare,validation,30720,3.5331923961639404,34.23307890863783,5.097319148452311
44,small,native,tiny_shakespeare,validation,35840,3.452026605606079,31.564295912223358,4.980221664924652
44,small,native,tiny_shakespeare,validation,40960,3.3967807292938232,29.867792600923227,4.9005187131393955
44,small,native,tiny_shakespeare,validation,46080,3.3319435119628906,27.992693003653198,4.806978381231019
44,small,native,tiny_shakespeare,validation,51200,3.2699978351593018,26.31128238346931,4.717609660501971
44,small,param_matched,tiny_shakespeare,validation,5120,5.303947448730469,201.12919217611895,7.651978681419117
44,small,param_matched,tiny_shakespeare,validation,10240,4.860844135284424,129.1331619708843,7.01271572850904
44,small,param_matched,tiny_shakespeare,validation,15360,4.489952564239502,89.1172184353635,6.477632298255014
44,small,param_matched,tiny_shakespeare,validation,20480,4.181388854980469,65.45669997668519,6.032468965108704
44,small,param_matched,tiny_shakespeare,validation,25600,3.93640398979187,51.23403154162473,5.679030515008261
44,small,param_matched,tiny_shakespeare,validation,30720,3.7534093856811523,42.6663001799055,5.415025107148289
44,small,param_matched,tiny_shakespeare,validation,35840,3.6233813762664795,37.46403388190391,5.227434342789078
44,small,param_matched,tiny_shakespeare,validation,40960,3.5339112281799316,34.25769558833206,5.098356203837014
44,small,param_matched,tiny_shakespeare,validation,46080,3.4734060764312744,32.24638927250574,5.011065721460992
44,small,param_matched,tiny_shakespeare,validation,51200,3.429596185684204,30.864176836437515,4.947861409338306
44,small,deepseekv4,tiny_shakespeare,validation,5120,5.3164520263671875,203.66001825275706,7.670018973564022
44,small,deepseekv4,tiny_shakespeare,validation,10240,4.864899635314941,129.65792488196436,7.018566578291392
44,small,deepseekv4,tiny_shakespeare,validation,15360,4.362032890319824,78.41638440814305,6.293083219058962
44,small,deepseekv4,tiny_shakespeare,validation,20480,3.9661879539489746,52.782935856928624,5.72199969239573
44,small,deepseekv4,tiny_shakespeare,validation,25600,3.6881730556488037,39.97175403902099,5.320908977324824
44,small,deepseekv4,tiny_shakespeare,validation,30720,3.5064191818237305,33.32870980414328,5.058693564895033
44,small,deepseekv4,tiny_shakespeare,validation,35840,3.3805720806121826,29.387578369102414,4.877134576066881
44,small,deepseekv4,tiny_shakespeare,validation,40960,3.275667190551758,26.460874037581995,4.725788811411705
44,small,deepseekv4,tiny_shakespeare,validation,46080,3.187026262283325,24.216307316645594,4.597906983779042
44,small,deepseekv4,tiny_shakespeare,validation,51200,3.1061434745788574,22.33474359064143,4.481217787064532
44,small,deepseekv4_no_hash,tiny_shakespeare,validation,5120,5.315926551818848,203.55302820938505,7.669260874039019
44,small,deepseekv4_no_hash,tiny_shakespeare,validation,10240,4.865053653717041,129.67789612630432,7.018788779876307
44,small,deepseekv4_no_hash,tiny_shakespeare,validation,15360,4.359259128570557,78.19917742003493,6.289081526738687
