seed,config,model,dataset,tokens_trained,layer,expert,count
42,small,deepseekv4_no_shared,tiny_shakespeare,20480,0,2,195
42,small,deepseekv4_no_shared,tiny_shakespeare,20480,0,3,301
42,small,deepseekv4_no_shared,tiny_shakespeare,20480,1,0,218
42,small,deepseekv4_no_shared,tiny_shakespeare,20480,1,1,183
42,small,deepseekv4_no_shared,tiny_shakespeare,20480,1,2,329
42,small,deepseekv4_no_shared,tiny_shakespeare,20480,1,3,294
42,small,deepseekv4_no_shared,tiny_shakespeare,25600,0,0,256
42,small,deepseekv4_no_shared,tiny_shakespeare,25600,0,1,253
42,small,deepseekv4_no_shared,tiny_shakespeare,25600,0,2,200
42,small,deepseekv4_no_shared,tiny_shakespeare,25600,0,3,315
42,small,deepseekv4_no_shared,tiny_shakespeare,25600,1,0,276
42,small,deepseekv4_no_shared,tiny_shakespeare,25600,1,1,169
42,small,deepseekv4_no_shared,tiny_shakespeare,25600,1,2,289
42,small,deepseekv4_no_shared,tiny_shakespeare,25600,1,3,290
42,small,deepseekv4_no_shared,tiny_shakespeare,30720,0,0,249
42,small,deepseekv4_no_shared,tiny_shakespeare,30720,0,1,264
42,small,deepseekv4_no_shared,tiny_shakespeare,30720,0,2,203
42,small,deepseekv4_no_shared,tiny_shakespeare,30720,0,3,308
42,small,deepseekv4_no_shared,tiny_shakespeare,30720,1,0,240
42,small,deepseekv4_no_shared,tiny_shakespeare,30720,1,1,244
42,small,deepseekv4_no_shared,tiny_shakespeare,30720,1,2,265
42,small,deepseekv4_no_shared,tiny_shakespeare,30720,1,3,275
42,small,deepseekv4_no_shared,tiny_shakespeare,35840,0,0,268
42,small,deepseekv4_no_shared,tiny_shakespeare,35840,0,1,270
42,small,deepseekv4_no_shared,tiny_shakespeare,35840,0,2,190
42,small,deepseekv4_no_shared,tiny_shakespeare,35840,0,3,296
42,small,deepseekv4_no_shared,tiny_shakespeare,35840,1,0,266
42,small,deepseekv4_no_shared,tiny_shakespeare,35840,1,1,216
42,small,deepseekv4_no_shared,tiny_shakespeare,35840,1,2,273
42,small,deepseekv4_no_shared,tiny_shakespeare,35840,1,3,269
42,small,deepseekv4_no_shared,tiny_shakespeare,40960,0,0,255
42,small,deepseekv4_no_shared,tiny_shakespeare,40960,0,1,254
42,small,deepseekv4_no_shared,tiny_shakespeare,40960,0,2,207
42,small,deepseekv4_no_shared,tiny_shakespeare,40960,0,3,308
42,small,deepseekv4_no_shared,tiny_shakespeare,40960,1,0,213
42,small,deepseekv4_no_shared,tiny_shakespeare,40960,1,1,258
42,small,deepseekv4_no_shared,tiny_shakespeare,40960,1,2,252
42,small,deepseekv4_no_shared,tiny_shakespeare,40960,1,3,301
42,small,deepseekv4_no_shared,tiny_shakespeare,46080,0,0,260
42,small,deepseekv4_no_shared,tiny_shakespeare,46080,0,1,249
42,small,deepseekv4_no_shared,tiny_shakespeare,46080,0,2,190
42,small,deepseekv4_no_shared,tiny_shakespeare,46080,0,3,325
42,small,deepseekv4_no_shared,tiny_shakespeare,46080,1,0,283
42,small,deepseekv4_no_shared,tiny_shakespeare,46080,1,1,235
42,small,deepseekv4_no_shared,tiny_shakespeare,46080,1,2,268
42,small,deepseekv4_no_shared,tiny_shakespeare,46080,1,3,238
42,small,deepseekv4_no_shared,tiny_shakespeare,51200,0,0,278
42,small,deepseekv4_no_shared,tiny_shakespeare,51200,0,1,248
42,small,deepseekv4_no_shared,tiny_shakespeare,51200,0,2,201
42,small,deepseekv4_no_shared,tiny_shakespeare,51200,0,3,297
42,small,deepseekv4_no_shared,tiny_shakespeare,51200,1,0,233
42,small,deepseekv4_no_shared,tiny_shakespeare,51200,1,1,326
42,small,deepseekv4_no_shared,tiny_shakespeare,51200,1,2,247
42,small,deepseekv4_no_shared,tiny_shakespeare,51200,1,3,218
43,small,deepseekv4,tiny_shakespeare,5120,0,0,248
43,small,deepseekv4,tiny_shakespeare,5120,0,1,254
43,small,deepseekv4,tiny_shakespeare,5120,0,2,217
43,small,deepseekv4,tiny_shakespeare,5120,0,3,305
43,small,deepseekv4,tiny_shakespeare,5120,1,0,349
43,small,deepseekv4,tiny_shakespeare,5120,1,1,139
43,small,deepseekv4,tiny_shakespeare,5120,1,2,206
43,small,deepseekv4,tiny_shakespeare,5120,1,3,330
43,small,deepseekv4,tiny_shakespeare,10240,0,0,268
43,small,deepseekv4,tiny_shakespeare,10240,0,1,247
43,small,deepseekv4,tiny_shakespeare,10240,0,2,202
43,small,deepseekv4,tiny_shakespeare,10240,0,3,307
43,small,deepseekv4,tiny_shakespeare,10240,1,0,273
43,small,deepseekv4,tiny_shakespeare,10240,1,1,181
43,small,deepseekv4,tiny_shakespeare,10240,1,2,264
43,small,deepseekv4,tiny_shakespeare,10240,1,3,306
43,small,deepseekv4,tiny_shakespeare,15360,0,0,257
43,small,deepseekv4,tiny_shakespeare,15360,0,1,248
43,small,deepseekv4,tiny_shakespeare,15360,0,2,195
43,small,deepseekv4,tiny_shakespeare,15360,0,3,324
43,small,deepseekv4,tiny_shakespeare,15360,1,0,299
43,small,deepseekv4,tiny_shakespeare,15360,1,1,205
43,small,deepseekv4,tiny_shakespeare,15360,1,2,227
43,small,deepseekv4,tiny_shakespeare,15360,1,3,293
43,small,deepseekv4,tiny_shakespeare,20480,0,0,247
43,small,deepseekv4,tiny_shakespeare,20480,0,1,263
43,small,deepseekv4,tiny_shakespeare,20480,0,2,194
43,small,deepseekv4,tiny_shakespeare,20480,0,3,320
43,small,deepseekv4,tiny_shakespeare,20480,1,0,285
43,small,deepseekv4,tiny_shakespeare,20480,1,1,303
43,small,deepseekv4,tiny_shakespeare,20480,1,2,234
43,small,deepseekv4,tiny_shakespeare,20480,1,3,202
43,small,deepseekv4,tiny_shakespeare,25600,0,0,253
43,small,deepseekv4,tiny_shakespeare,25600,0,1,262
43,small,deepseekv4,tiny_shakespeare,25600,0,2,199
43,small,deepseekv4,tiny_shakespeare,25600,0,3,310
43,small,deepseekv4,tiny_shakespeare,25600,1,0,265
43,small,deepseekv4,tiny_shakespeare,25600,1,1,295
43,small,deepseekv4,tiny_shakespeare,25600,1,2,251
43,small,deepseekv4,tiny_shakespeare,25600,1,3,213
43,small,deepseekv4,tiny_shakespeare,30720,0,0,266
43,small,deepseekv4,tiny_shakespeare,30720,0,1,239
43,small,deepseekv4,tiny_shakespeare,30720,0,2,202
43,small,deepseekv4,tiny_shakespeare,30720,0,3,317
43,small,deepseekv4,tiny_shakespeare,30720,1,0,252
43,small,deepseekv4,tiny_shakespeare,30720,1,1,299
43,small,deepseekv4,tiny_shakespeare,30720,1,2,254
43,small,deepseekv4,tiny_shakespeare,30720,1,3,219
43,small,deepseekv4,tiny_shakespeare,35840,0,0,269
43,small,deepseekv4,tiny_shakespeare,35840,0,1,241
43,small,deepseekv4,tiny_shakespeare,35840,0,2,188
43,small,deepseekv4,tiny_shakespeare,35840,0,3,326
43,small,deepseekv4,tiny_shakespeare,35840,1,0,314
43,small,deepseekv4,tiny_shakespeare,35840,1,1,284
43,small,deepseekv4,tiny_shakespeare,35840,1,2,254
43,small,deepseekv4,tiny_shakespeare,35840,1,3,172
43,small,deepseekv4,tiny_shakespeare,40960,0,0,272
43,small,deepseekv4,tiny_shakespeare,40960,0,1,248
43,small,deepseekv4,tiny_shakespeare,40960,0,2,186
43,small,deepseekv4,tiny_shakespeare,40960,0,3,318
43,small,deepseekv4,tiny_shakespeare,40960,1,0,291
43,small,deepseekv4,tiny_shakespeare,40960,1,1,296
43,small,deepseekv4,tiny_shakespeare,40960,1,2,224
43,small,deepseekv4,tiny_shakespeare,40960,1,3,213
43,small,deepseekv4,tiny_shakespeare,46080,0,0,267
43,small,deepseekv4,tiny_shakespeare,46080,0,1,242
43,small,deepseekv4,tiny_shakespeare,46080,0,2,187
43,small,deepseekv4,tiny_shakespeare,46080,0,3,328
43,small,deepseekv4,tiny_shakespeare,46080,1,0,250
43,small,deepseekv4,tiny_shakespeare,46080,1,1,338
43,small,deepseekv4,tiny_shakespeare,46080,1,2,186
43,small,deepseekv4,tiny_shakespeare,46080,1,3,250
43,small,deepseekv4,tiny_shakespeare,51200,0,0,279
43,small,deepseekv4,tiny_shakespeare,51200,0,1,236
43,small,deepseekv4,tiny_shakespeare,51200,0,2,208
43,small,deepseekv4,tiny_shakespeare,51200,0,3,301
43,small,deepseekv4,tiny_shakespeare,51200,1,0,277
43,small,deepseekv4,tiny_shakespeare,51200,1,1,304
43,small,deepseekv4,tiny_shakespeare,51200,1,2,199
43,small,deepseekv4,tiny_shakespeare,51200,1,3,244
43,small,deepseekv4_no_hash,tiny_shakespeare,5120,0,0,261
43,small,deepseekv4_no_hash,tiny_shakespeare,5120,0,1,280
43,small,deepseekv4_no_hash,tiny_shakespeare,5120,0,2,266
43,small,deepseekv4_no_hash,tiny_shakespeare,5120,0,3,217
43,small,deepseekv4_no_hash,tiny_shakespeare,5120,1,0,370
43,small,deepseekv4_no_hash,tiny_shakespeare,5120,1,1,148
43,small,deepseekv4_no_hash,tiny_shakespeare,5120,1,2,192
43,small,deepseekv4_no_hash,tiny_shakespeare,5120,1,3,314
43,small,deepseekv4_no_hash,tiny_shakespeare,10240,0,0,265
